iter	Passed	Remaining
399	41321	165287
400	41435	165225
401	41545	165146
402	41683	165182
403	41782	165062
404	41881	164940
405	41992	164868
406	42105	164801
407	42206	164686
408	42305	164568
409	42394	164409
410	42490	164276
411	42591	164164
412	42704	164096
413	42819	164039
414	42919	163923
415	43013	163783
416	43108	163646
417	43209	163533
418	43321	163463
419	43416	163327
420	43509	163187
421	43604	163050
422	43701	162925
423	43794	162781
424	43893	162665
425	43983	162510
426	44070	162347
427	44168	162225
428	44305	162246
429	44435	162242
430	44564	162230
431	44693	162219
432	44788	162085
433	44886	161965
434	44995	161879
435	45095	161765
436	45218	161732
437	45348	161721
438	45474	161698
439	45599	161671
440	45733	161674
441	45853	161629
442	45948	161494
443	46035	161333
444	46126	161185
445	46246	161137
446	46374	161117
447	46507	161116
448	46610	161006
449	46723	160937
450	46814	160789
451	46895	160606
452	46973	160416
453	47055	160238
454	47134	160048
455	47248	159981
456	47363	159917
457	47464	159803
458	47546	159629
459	47632	159466
460	47717	159298
461	47795	159112
462	47881	158948
463	47969	158794
464	48061	158654
465	48190	158637
466	48298	158547
467	48402	158445
468	48505	158341
469	48602	158216
470	48708	158120
471	48800	157980
472	48895	157850
473	48983	157697
474	49057	157500
475	49135	157317
476	49235	157204
477	49338	157097
478	49437	156982
479	49535	156862
480	49635	156749
481	49725	156605
482	49799	156410
483	49882	156243
484	49961	156066
485	50066	155967
486	50156	155825
487	50270	155756
488	50375	155658
489	50484	155575
490	50593	155489
491	50692	155375
492	50795	155270
493	50896	155163
494	50981	155002
495	51059	154826
496	51143	154665
497	51227	154504
498	51325	154386
499	51424	154272
500	51506	154107
501	51596	153967
502	51682	153813
503	51774	153678
504	51856	153514
505	51941	153360
506	52022	153195
507	52095	153005
508	52177	152841
509	52270	152711
510	52380	152630
511	52482	152526
512	52596	152457
513	52710	152389
514	52856	152410
515	52976	152359
516	53067	152221
517	53155	152079
518	53272	152015
519	53395	151972
520	53508	151898
521	53615	151808
522	53727	151731
523	53836	151647
524	53932	151525
525	54013	151359
526	54100	151213
527	54179	151047
528	54271	150913
529	54377	150819
530	54488	150741
531	54600	150664
532	54689	150524
533	54774	150373
534	54863	150233
535	54952	150093
536	55040	149951
537	55126	149804
538	55212	149658
539	55322	149574
540	55423	149470
541	55527	149371
542	55633	149278
543	55743	149196
544	55862	149137
545	55985	149089
546	56070	148940
547	56156	148795
548	56238	148637
549	56336	148523
550	56434	148410
551	56525	148278
552	56632	148186
553	56716	148035
554	56798	147881
555	56872	147705
556	56952	147545
557	57039	147403
558	57141	147299
559	57242	147195
560	57367	147152
561	57487	147095
562	57590	146993
563	57697	146902
564	57841	146907
565	57944	146807
566	58027	146656
567	58117	146521
568	58196	146361
569	58286	146227
570	58382	146108
571	58481	146000
572	58581	145891
573	58681	145784
574	58759	145622
575	58834	145452
576	58921	145311
577	59008	145173
578	59095	145034
579	59178	144886
580	59283	144790
581	59390	144701
582	59492	144597
583	59611	144538
584	59728	144471
585	59843	144399
586	59920	144237
587	59998	144078
588	60069	143900
589	60146	143740
590	60229	143592
591	60324	143473
592	60410	143335
593	60510	143227
594	60615	143134
595	60717	143031
596	60799	142883
597	60880	142732
598	60973	142611
599	61059	142471
600	61136	142313
601	61220	142171
602	61316	142054
603	61426	141971
604	61528	141870
605	61636	141784
606	61738	141683
607	61823	141543
608	61901	141387
609	61983	141240
610	62081	141132
611	62161	140979
612	62235	140817
613	62327	140693
614	62454	140649
615	62565	140569
616	62663	140458
617	62764	140356
618	62855	140230
619	62955	140126
620	63048	140005
621	63138	139879
622	63222	139739
623	63316	139621
624	63406	139494
625	63509	139395
626	63613	139301
627	63706	139180
628	63784	139028
629	63870	138892
630	63955	138757
631	64032	138602
632	64113	138457
633	64192	138307
634	64282	138183
635	64385	138084
636	64484	137978
637	64582	137869
638	64682	137765
639	64792	137683
640	64885	137564
641	64964	137416
642	65048	137278
643	65134	137146
644	65221	137016
645	65334	136938
646	65455	136879
647	65565	136796
648	65671	136705
649	65766	136591
650	65846	136445
651	65938	136326
652	66024	136194
653	66110	136061
654	66193	135923
655	66285	135804
656	66437	135808
657	66563	135758
658	66669	135666
659	66764	135552
660	66835	135389
661	66916	135249
662	66999	135110
663	67078	134964
664	67160	134826
665	67263	134729
666	67400	134699
667	67520	134635
668	67624	134542
669	67739	134468
670	67850	134386
671	67959	134300
672	68065	134210
673	68169	134113
674	68272	134016
675	68376	133921
676	68490	133845
677	68602	133764
678	68723	133701
679	68827	133605
680	68911	133472
681	68995	133336
682	69072	133190
683	69154	133052
684	69236	132914
685	69344	132826
686	69443	132720
687	69548	132627
688	69632	132493
689	69708	132345
690	69790	132207
691	69864	132056
692	69941	131909
693	70019	131766
694	70098	131623
695	70174	131475
696	70256	131339
697	70353	131233
698	70456	131135
699	70558	131037
700	70656	130930
701	70754	130826
702	70846	130708
703	70925	130567
704	71006	130430
705	71084	130288
706	71164	130149
707	71248	130018
708	71332	129888
709	71441	129802
710	71539	129697
711	71640	129597
712	71740	129494
713	71825	129366
714	71932	129276
715	72030	129171
716	72115	129043
717	72196	128908
718	72273	128766
719	72360	128641
720	72464	128545
721	72565	128447
722	72680	128372
723	72797	128301
724	72911	128224
725	73028	128151
726	73139	128070
727	73231	127954
728	73320	127832
729	73431	127750
730	73541	127666
731	73652	127583
732	73765	127504
733	73889	127444
734	74004	127368
735	74106	127270
736	74194	127146
737	74288	127035
738	74379	126918
739	74496	126844
740	74615	126776
741	74731	126701
742	74844	126621
743	74961	126548
744	75046	126421
745	75139	126307
746	75248	126219
747	75340	126104
748	75445	126011
749	75561	125936
750	75668	125845
751	75790	125780
752	75925	125735
753	76051	125676
754	76154	125578
755	76238	125451
756	76322	125321
757	76407	125196
758	76510	125097
759	76612	124998
760	76713	124899
761	76805	124783
762	76892	124659
763	77003	124576
764	77097	124464
765	77185	124342
766	77279	124232
767	77366	124108
768	77471	124015
769	77585	123935
770	77701	123858
771	77817	123781
772	77935	123708
773	78040	123614
774	78122	123483
775	78202	123350
776	78291	123230
777	78377	123107
778	78483	123015
779	78591	122925
780	78712	122856
781	78827	122777
782	78940	122696
783	79033	122582
784	79121	122462
785	79208	122339
786	79294	122216
787	79383	122097
788	79495	122013
789	79611	121936
790	79726	121856
791	79837	121772
792	79947	121685
793	80029	121555
794	80132	121458
795	80229	121352
796	80316	121230
797	80400	121105
798	80503	121007
799	80619	120928
800	80731	120845
801	80837	120751
802	80944	120660
803	81031	120538
804	81112	120408
805	81197	120285
806	81280	120157
807	81370	120041
808	81466	119933
809	81585	119860
810	81691	119767
811	81803	119683
812	81898	119574
813	81978	119443
814	82080	119344
815	82158	119209
816	82234	119073
817	82313	118941
818	82397	118816
819	82481	118693
820	82578	118586
821	82676	118482
822	82779	118385
823	82879	118283
824	82978	118180
825	83065	118061
826	83146	117933
827	83226	117803
828	83314	117685
829	83399	117563
830	83494	117455
831	83596	117356
832	83697	117256
833	83800	117159
834	83893	117049
835	83978	116926
836	84053	116791
837	84134	116664
838	84214	116535
839	84294	116406
840	84380	116286
841	84471	116173
842	84583	116089
843	84701	116012
844	84823	115941
845	84976	115913
846	85106	115853
847	85210	115757
848	85309	115655
849	85396	115535
850	85484	115419
851	85601	115341
852	85718	115262
853	85834	115183
854	85938	115086
855	86048	114999
856	86156	114908
857	86264	114817
858	86369	114723
859	86458	114608
860	86583	114540
861	86693	114450
862	86817	114382
863	86923	114288
864	87028	114193
865	87107	114065
866	87180	113928
867	87269	113811
868	87371	113713
869	87481	113626
870	87590	113536
871	87743	113503
872	87872	113438
873	88005	113379
874	88125	113304
875	88223	113199
876	88317	113090
877	88409	112978
878	88510	112878
879	88626	112797
880	88751	112727
881	88870	112650
882	88983	112565
883	89100	112484
884	89207	112391
885	89310	112292
886	89409	112190
887	89514	112094
888	89629	112011
889	89739	111922
890	89845	111827
891	89956	111739
892	90073	111659
893	90183	111569
894	90292	111478
895	90381	111363
896	90470	111247
897	90574	111150
898	90685	111061
899	90791	110967
900	90895	110869
901	90991	110763
902	91087	110656
903	91189	110557
904	91279	110442
905	91362	110320
906	91441	110194
907	91521	110067
908	91620	109964
909	91722	109865
910	91828	109770
911	91944	109687
912	92050	109593
913	92181	109528
914	92297	109445
915	92391	109336
916	92476	109217
917	92578	109117
918	92676	109013
919	92782	108918
920	92906	108844
921	93014	108752
922	93115	108651
923	93227	108563
924	93316	108448
925	93390	108316
926	93482	108205
927	93577	108098
928	93701	108024
929	93802	107923
930	93902	107821
931	93993	107708
932	94090	107604
933	94208	107523
934	94321	107435
935	94416	107328
936	94513	107222
937	94611	107119
938	94709	107014
939	94809	106912
940	94918	106821
941	95013	106713
942	95097	106593
943	95177	106470
944	95267	106356
