iter	Passed	Remaining
399	28739	114959
400	28808	114876
401	28875	114785
402	28945	114706
403	29019	114641
404	29091	114568
405	29160	114486
406	29229	114405
407	29317	114395
408	29407	114396
409	29475	114307
410	29545	114227
411	29613	114140
412	29678	114044
413	29743	113943
414	29814	113870
415	29880	113776
416	29949	113691
417	30014	113594
418	30097	113564
419	30174	113514
420	30244	113435
421	30330	113416
422	30417	113399
423	30498	113362
424	30572	113297
425	30637	113200
426	30704	113111
427	30771	113021
428	30850	112974
429	30920	112894
430	30989	112813
431	31062	112744
432	31127	112648
433	31195	112562
434	31262	112473
435	31367	112518
436	31464	112538
437	31549	112512
438	31625	112453
439	31707	112417
440	31784	112363
441	31859	112302
442	31930	112223
443	32005	112163
444	32077	112091
445	32155	112039
446	32227	111965
447	32310	111934
448	32401	111926
449	32514	111995
450	32615	112020
451	32719	112056
452	32816	112068
453	32902	112042
454	32976	111973
455	33048	111900
456	33125	111843
457	33200	111778
458	33272	111706
459	33368	111713
460	33460	111705
461	33568	111748
462	33664	111754
463	33760	111758
464	33843	111718
465	33956	111779
466	34020	111676
467	34092	111602
468	34159	111509
469	34230	111430
470	34303	111359
471	34385	111314
472	34468	111274
473	34554	111243
474	34640	111215
475	34731	111198
476	34801	111115
477	34872	111037
478	34937	110938
479	35018	110891
480	35090	110816
481	35161	110736
482	35232	110656
483	35311	110603
484	35401	110584
485	35480	110529
486	35553	110457
487	35629	110391
488	35706	110331
489	35783	110270
490	35859	110207
491	35937	110151
492	36009	110072
493	36083	110003
494	36159	109938
495	36235	109875
496	36314	109819
497	36401	109790
498	36494	109776
499	36580	109741
500	36657	109679
501	36731	109608
502	36800	109524
503	36875	109454
504	36951	109391
505	37021	109308
506	37092	109230
507	37160	109140
508	37232	109064
509	37302	108982
510	37392	108958
511	37483	108937
512	37576	108921
513	37656	108867
514	37735	108810
515	37802	108718
516	37869	108628
517	37953	108584
518	38028	108517
519	38098	108432
520	38168	108350
521	38240	108273
522	38310	108193
523	38397	108157
524	38469	108081
525	38543	108010
526	38617	107939
527	38689	107862
528	38758	107777
529	38827	107692
530	38896	107606
531	38963	107516
532	39030	107426
533	39103	107351
534	39181	107292
535	39254	107218
536	39326	107140
537	39409	107093
538	39495	107056
539	39587	107033
540	39674	106995
541	39764	106968
542	39843	106909
543	39916	106835
544	39987	106754
545	40061	106683
546	40127	106590
547	40198	106511
548	40268	106428
549	40342	106356
550	40416	106286
551	40478	106181
552	40549	106103
553	40623	106032
554	40704	105978
555	40770	105886
556	40841	105807
557	40912	105726
558	40983	105647
559	41054	105569
560	41128	105497
561	41196	105410
562	41262	105319
563	41331	105233
564	41421	105202
565	41503	105152
566	41591	105116
567	41659	105028
568	41731	104952
569	41817	104911
570	41884	104821
571	41948	104725
572	42016	104639
573	42086	104556
574	42155	104472
575	42222	104384
576	42289	104295
577	42364	104226
578	42441	104160
579	42509	104075
580	42572	103976
581	42645	103903
582	42709	103806
583	42779	103726
584	42850	103647
585	42919	103564
586	42983	103468
587	43048	103376
588	43110	103275
589	43172	103175
590	43243	103097
591	43316	103024
592	43384	102938
593	43473	102902
594	43583	102915
595	43687	102914
596	43777	102881
597	43859	102828
598	43933	102756
599	44016	102705
600	44084	102618
601	44156	102543
602	44229	102468
603	44305	102400
604	44385	102344
605	44489	102339
606	44598	102349
607	44674	102281
608	44741	102193
609	44812	102113
610	44888	102046
611	44967	101984
612	45053	101939
613	45129	101872
614	45211	101818
615	45288	101752
616	45373	101704
617	45485	101717
618	45575	101680
619	45666	101643
620	45741	101574
621	45814	101498
622	45886	101422
623	45959	101345
624	46035	101278
625	46106	101199
626	46182	101130
627	46267	101080
628	46343	101012
629	46426	100959
630	46516	100919
631	46591	100850
632	46661	100767
633	46731	100687
634	46809	100621
635	46881	100545
636	46951	100463
637	47022	100383
638	47091	100300
639	47167	100231
640	47239	100153
641	47306	100065
642	47376	99984
643	47468	99949
644	47558	99909
645	47635	99842
646	47719	99789
647	47795	99720
648	47869	99647
649	47945	99578
650	48014	99495
651	48085	99415
652	48156	99335
653	48228	99258
654	48303	99187
655	48375	99111
656	48464	99068
657	48556	99031
658	48643	98983
659	48719	98915
660	48784	98823
661	48860	98755
662	48936	98683
663	49013	98618
664	49088	98546
665	49161	98469
666	49234	98395
667	49328	98361
668	49405	98294
669	49500	98261
670	49591	98222
671	49674	98166
672	49756	98107
673	49823	98020
674	49895	97942
675	49967	97864
676	50034	97778
677	50104	97696
678	50174	97615
679	50248	97541
680	50322	97467
681	50391	97383
682	50482	97343
683	50570	97296
684	50641	97216
685	50714	97141
686	50782	97055
687	50852	96974
688	50926	96900
689	50996	96819
690	51070	96745
691	51133	96651
692	51208	96578
693	51277	96496
694	51349	96418
695	51422	96342
696	51514	96302
697	51594	96241
698	51669	96169
699	51742	96094
700	51811	96010
701	51887	95940
702	51957	95858
703	52029	95782
704	52102	95706
705	52171	95623
706	52242	95544
707	52317	95472
708	52387	95391
709	52476	95344
710	52546	95264
711	52622	95193
